shot_ID,tag,val,val_str
86,is_transition,1,NULL
86,def_scheme,NULL,man
86,is_off_dodge,1,NULL
86,is_right_handed,1,NULL
86,shot_quality,3,NULL
87,field_loc_x,0.418592,NULL
87,field_loc_y,0.341563,NULL
87,goal_loc_x,0.42182,NULL
87,goal_loc_y,0.161563,NULL
87,def_scheme,NULL,man
87,is_transition,1,NULL
87,is_off_dodge,1,NULL
87,is_right_handed,0,NULL
87,shot_quality,3,NULL
87,clean_save,0,NULL
88,field_loc_x,0.582575,NULL
88,field_loc_y,0.421562,NULL
88,goal_loc_x,0.309396,NULL
88,goal_loc_y,0.446562,NULL
88,def_scheme,NULL,man
88,is_transition,1,NULL
88,is_off_dodge,1,NULL
88,is_right_handed,1,NULL
88,shot_quality,2,NULL
88,clean_save,1,NULL
89,field_loc_x,0.564354,NULL
89,field_loc_x,0.564354,NULL
89,field_loc_y,0.401563,NULL
89,field_loc_y,0.401563,NULL
89,goal_loc_x,0.138316,NULL
89,goal_loc_y,0.241563,NULL
89,def_scheme,NULL,man
89,is_transition,1,NULL
89,is_off_dodge,1,NULL
89,is_right_handed,1,NULL
89,shot_quality,3,NULL
90,field_loc_x,0.427702,NULL
90,field_loc_y,0.456562,NULL
90,def_scheme,NULL,man
90,is_transition,1,NULL
90,is_off_dodge,1,NULL
90,is_right_handed,0,NULL
90,shot_quality,3,NULL
90,goal_loc_x,0.172532,NULL
90,goal_loc_y,0.166562,NULL
91,field_loc_x,0.540061,NULL
91,field_loc_y,0.661563,NULL
91,goal_loc_x,0.284956,NULL
91,goal_loc_y,0.181562,NULL
91,is_transition,1,NULL
91,def_scheme,NULL,man
91,is_off_dodge,1,NULL
91,is_right_handed,0,NULL
91,shot_quality,1,NULL
92,field_loc_x,0.415555,NULL
92,field_loc_y,0.366562,NULL
92,goal_loc_x,0.754206,NULL
92,goal_loc_y,0.276563,NULL
92,def_scheme,NULL,man
92,is_transition,1,NULL
92,is_off_dodge,0,NULL
92,is_right_handed,1,NULL
92,shot_quality,3,NULL
93,field_loc_x,0.591685,NULL
93,field_loc_y,0.526563,NULL
93,goal_loc_x,0.240964,NULL
93,goal_loc_y,0.826563,NULL
93,def_scheme,NULL,man
93,is_transition,1,NULL
93,is_off_dodge,1,NULL
93,is_right_handed,1,NULL
93,shot_quality,2,NULL
94,field_loc_x,0.412519,NULL
94,field_loc_y,0.716563,NULL
94,goal_loc_x,0.270292,NULL
94,goal_loc_y,0.636563,NULL
94,def_scheme,NULL,man
94,is_transition,0,NULL
94,is_off_dodge,1,NULL
94,is_right_handed,1,NULL
94,shot_quality,2,NULL
94,clean_save,0,NULL
95,field_loc_x,0.631162,NULL
95,field_loc_y,0.436563,NULL
95,goal_loc_x,0.480477,NULL
95,goal_loc_y,0.566562,NULL
95,def_scheme,NULL,man
95,is_transition,1,NULL
95,is_off_dodge,1,NULL
95,is_right_handed,1,NULL
95,shot_quality,3,NULL
95,clean_save,1,NULL
96,field_loc_x,0.412519,NULL
96,field_loc_y,0.286563,NULL
96,goal_loc_x,0.788422,NULL
96,goal_loc_y,0.896563,NULL
96,def_scheme,NULL,man
96,is_transition,1,NULL
96,is_off_dodge,0,NULL
96,is_right_handed,1,NULL
96,shot_quality,3,NULL
97,field_loc_x,0.455033,NULL
97,field_loc_y,0.651563,NULL
97,goal_loc_x,0.754206,NULL
97,goal_loc_y,0.191563,NULL
97,def_scheme,NULL,zone
97,is_transition,1,NULL
97,is_off_dodge,0,NULL
97,is_right_handed,1,NULL
97,shot_quality,1,NULL
98,field_loc_x,0.412519,NULL
98,field_loc_y,0.496563,NULL
98,goal_loc_x,0.240964,NULL
98,goal_loc_y,0.756562,NULL
98,def_scheme,NULL,man
98,is_transition,0,NULL
98,is_off_dodge,1,NULL
98,is_right_handed,0,NULL
98,shot_quality,2,NULL
99,field_loc_x,0.412519,NULL
99,field_loc_y,0.451562,NULL
99,goal_loc_x,0.739541,NULL
99,goal_loc_y,0.611562,NULL
99,def_scheme,NULL,man
99,is_transition,1,NULL
99,is_off_dodge,0,NULL
99,is_right_handed,1,NULL
99,shot_quality,2,NULL
99,clean_save,1,NULL
100,field_loc_x,0.388225,NULL
100,field_loc_y,0.461563,NULL
100,goal_loc_x,0.89107,NULL
100,goal_loc_y,0.381563,NULL
100,def_scheme,NULL,man
100,is_transition,1,NULL
100,is_off_dodge,1,NULL
100,is_right_handed,1,NULL
100,shot_quality,3,NULL
101,field_loc_x,0.500583,NULL
101,field_loc_y,0.366562,NULL
101,goal_loc_x,0.133428,NULL
101,goal_loc_y,0.346563,NULL
101,def_scheme,NULL,man
101,is_transition,1,NULL
101,is_off_dodge,1,NULL
101,is_right_handed,1,NULL
101,shot_quality,2,NULL
102,field_loc_x,0.588648,NULL
102,field_loc_y,0.606562,NULL
102,goal_loc_x,0.138316,NULL
102,goal_loc_y,0.196562,NULL
102,def_scheme,NULL,man
102,is_transition,1,NULL
102,is_off_dodge,1,NULL
102,is_right_handed,1,NULL
102,shot_quality,2,NULL
103,field_loc_x,0.394298,NULL
103,field_loc_y,0.526563,NULL
103,goal_loc_x,0.96439,NULL
103,goal_loc_y,0.266562,NULL
103,def_scheme,NULL,man
103,is_transition,0,NULL
103,is_off_dodge,1,NULL
103,is_right_handed,0,NULL
103,shot_quality,3,NULL
104,field_loc_x,0.430739,NULL
104,field_loc_y,0.646563,NULL
104,goal_loc_x,0.651557,NULL
104,goal_loc_y,0.721563,NULL
105,field_loc_x,0.500583,NULL
105,field_loc_y,0.441563,NULL
105,goal_loc_x,0.602677,NULL
105,goal_loc_y,0.401563,NULL
105,def_scheme,NULL,man
105,is_transition,1,NULL
105,is_off_dodge,1,NULL
105,is_right_handed,1,NULL
105,shot_quality,2,NULL
105,clean_save,0,NULL
106,field_loc_x,0.400372,NULL
106,field_loc_y,0.456562,NULL
106,goal_loc_x,0.89107,NULL
106,goal_loc_y,0.631562,NULL
106,def_scheme,NULL,man
106,is_transition,0,NULL
106,is_off_dodge,1,NULL
106,is_right_handed,1,NULL
106,shot_quality,2,NULL
107,field_loc_x,0.612942,NULL
107,field_loc_y,0.616562,NULL
107,goal_loc_x,0.715101,NULL
107,goal_loc_y,0.706563,NULL
107,def_scheme,NULL,man
107,is_transition,0,NULL
107,is_off_dodge,0,NULL
107,is_right_handed,0,NULL
107,shot_quality,2,NULL
239,field_loc_x,0.450478,NULL
239,field_loc_y,0.676562,NULL
239,goal_loc_x,0.546465,NULL
239,goal_loc_y,0.206563,NULL
239,shot_quality,1,NULL
239,is_right_handed,1,NULL
239,clean_save,0,NULL
239,is_off_dodge,0,NULL
239,is_transition,0,NULL
239,def_scheme,NULL,man
240,field_loc_x,0.553726,NULL
240,field_loc_y,0.406563,NULL
240,goal_loc_x,0.883738,NULL
240,goal_loc_y,0.321562,NULL
240,def_scheme,NULL,man
240,is_transition,0,NULL
240,is_off_dodge,1,NULL
240,is_right_handed,1,NULL
240,shot_quality,3,NULL
241,field_loc_x,0.672158,NULL
241,field_loc_y,0.571563,NULL
241,goal_loc_x,0.487809,NULL
241,goal_loc_y,0.186562,NULL
241,is_transition,0,NULL
